scene,run_id,failure_type,status,evidence,required_followup
web_doss_images,web_doss_images-pending-single-run,not_run,pending_gpt_approval_for_long_run,No existing corrected GS-W strict_intrinsic 30k run matching frozen protocol was found.,Run one strict_intrinsic 30k attempt only if GPT approves the 12-scene long run.
web_Trento_Duomo_images,web_Trento_Duomo_images-pending-single-run,not_run,pending_gpt_approval_for_long_run,No existing corrected GS-W strict_intrinsic 30k run matching frozen protocol was found.,Run one strict_intrinsic 30k attempt only if GPT approves the 12-scene long run.
self_double-action_press,self_double-action_press-pending-single-run,not_run,pending_gpt_approval_for_long_run,No existing corrected GS-W strict_intrinsic 30k run matching frozen protocol was found.,Run one strict_intrinsic 30k attempt only if GPT approves the 12-scene long run.
web_cyprus_images,web_cyprus_images-pending-single-run,not_run,pending_gpt_approval_for_long_run,No existing corrected GS-W strict_intrinsic 30k run matching frozen protocol was found.,Run one strict_intrinsic 30k attempt only if GPT approves the 12-scene long run.
self_CLG899III_Wheel_Loader,self_CLG899III_Wheel_Loader-pending-single-run,not_run,pending_gpt_approval_for_long_run,No existing corrected GS-W strict_intrinsic 30k run matching frozen protocol was found.,Run one strict_intrinsic 30k attempt only if GPT approves the 12-scene long run.
web_metopa_images,web_metopa_images-pending-single-run,not_run,pending_gpt_approval_for_long_run,No existing corrected GS-W strict_intrinsic 30k run matching frozen protocol was found.,Run one strict_intrinsic 30k attempt only if GPT approves the 12-scene long run.
web_statue_images,web_statue_images-pending-single-run,not_run,pending_gpt_approval_for_long_run,No existing corrected GS-W strict_intrinsic 30k run matching frozen protocol was found.,Run one strict_intrinsic 30k attempt only if GPT approves the 12-scene long run.
web_Baalshamin_images,web_Baalshamin_images-pending-single-run,not_run,pending_gpt_approval_for_long_run,No existing corrected GS-W strict_intrinsic 30k run matching frozen protocol was found.,Run one strict_intrinsic 30k attempt only if GPT approves the 12-scene long run.
self_3000t_Press,self_3000t_Press-pending-single-run,not_run,pending_gpt_approval_for_long_run,No existing corrected GS-W strict_intrinsic 30k run matching frozen protocol was found.,Run one strict_intrinsic 30k attempt only if GPT approves the 12-scene long run.
web_Terrestrial,M-G3,non_designated_triggered_third_nan_black,completed_but_invalid_for_designated_12scene_table,black_views=24; PSNR=7.014448444048564; SSIM=0.004705206954289072; LPIPS=1.044064390162627,Do not replace M-G1 with M-G3 and do not run a fourth replicate under current protocol.
