scene,config_count,config_path,max_num_iterations,method_name,datamanager,eval_right_half,use_avg_appearance,appearance_embed_dim,appearance_features_dim,train_split_fraction,eval_mode,eval_interval,downscale_factor,eval_json_exists,psnr,ssim,lpips,checkpoint_count,render_like_image_count,train_cmd_exists,metrics_cmd_exists
self_3000t_Press,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\self_3000t_Press\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,18.51313018798828,0.714065670967102,0.27073776721954346,1,0,True,True
self_CLG899III_Wheel_Loader,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\self_CLG899III_Wheel_Loader\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,21.632678985595703,0.7389420866966248,0.25727415084838867,1,0,True,True
self_double-action_press,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\self_double-action_press\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,25.805267333984375,0.8805578947067261,0.1643204689025879,1,0,True,True
self_Steam_Locomotive,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\self_Steam_Locomotive\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,20.61547088623047,0.6294419169425964,0.3027236759662628,1,0,True,True
self_Trackmobile_4650TM_Mobile_Railcar_Mover,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\self_Trackmobile_4650TM_Mobile_Railcar_Mover\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,12.05467414855957,0.2725757360458374,0.49790650606155396,1,0,True,True
web_Baalshamin_images,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\web_Baalshamin_images\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,15.777251243591309,0.5920544862747192,0.36396294832229614,1,0,True,True
web_cyprus_images,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\web_cyprus_images\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,24.146791458129883,0.7228274941444397,0.2903967499732971,1,0,True,True
web_doss_images,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\web_doss_images\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,25.735595703125,0.8341551423072815,0.15989847481250763,1,0,True,True
web_metopa_images,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\web_metopa_images\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,22.621017456054688,0.7698177099227905,0.4114225208759308,1,0,True,True
web_statue_images,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\web_statue_images\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,23.200389862060547,0.9073625802993774,0.13634109497070312,1,0,True,True
web_Terrestrial,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\web_Terrestrial\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,21.040590286254883,0.7553876638412476,0.36067280173301697,1,0,True,True
web_Trento_Duomo_images,1,G:\WL3DGS\3dgs_runs\external_baselines_20260620\splatfacto_w_r1_iter30000\web_Trento_Duomo_images\splatfacto-w-light\r1_iter30000\config.yml,30000,splatfacto-w-light,FullImageDatamanager,false,true,24,32,0.9,interval,8,1,True,17.5682430267334,0.5573853254318237,0.4837770462036133,1,0,True,True
