mode,metric,mean,sample_std,min,max,range,bootstrap_ci95_low,bootstrap_ci95_high
strict_intrinsic,psnr,12.6444730758667,0.226970627793989,12.440200805664062,12.88880729675293,0.4486064910888672,12.440200805664062,12.88880729675293
strict_intrinsic,ssim,0.43471552928288776,0.009397049354422777,0.42519891262054443,0.44398826360702515,0.018789350986480713,0.42519891262054443,0.44398826360702515
strict_intrinsic,lpips,0.6361653208732605,0.00972511960986029,0.6267451047897339,0.6461690664291382,0.019423961639404297,0.6267451047897339,0.6461690664291382
strict_nearest_train,psnr,12.485377629597982,0.27355897900860593,12.278940200805664,12.795652389526367,0.5167121887207031,12.278940200805664,12.795652389526367
strict_nearest_train,ssim,0.4270767072836558,0.006652233552166697,0.41939622163772583,0.4310160279273987,0.011619806289672852,0.41939622163772583,0.4310160279273987
strict_nearest_train,lpips,0.6373182932535807,0.00944479130690227,0.6269980669021606,0.6455318927764893,0.018533825874328613,0.6269980669021606,0.6455318927764893
legacy_target_rgb,psnr,12.555741310119629,0.23673651719913352,12.367361068725586,12.821479797363281,0.4541187286376953,12.367361068725586,12.821479797363281
legacy_target_rgb,ssim,0.41888179381688434,0.006234995237264076,0.4117988348007202,0.4235408306121826,0.011741995811462402,0.4117988348007202,0.4235408306121826
legacy_target_rgb,lpips,0.6481616099675497,0.01198646437420607,0.6344172954559326,0.6564464569091797,0.02202916145324707,0.6344172954559326,0.6564464569091797
run_meta,gaussian_count,145873.33333333334,10719.2947684693,136793.0,157698.0,20905.0,136793.0,157698.0
run_meta,duration_sec,5512.333333333333,45.610671265980436,5465.0,5556.0,91.0,5465.0,5556.0
run_meta,peak_gpu_mem_mb,11194.666666666666,230.99422792211354,11008.0,11453.0,445.0,11008.0,11453.0
run_meta,checkpoint_size_bytes,103166125.66666667,2915634.9395885165,100696283.0,106382419.0,5686136.0,100696283.0,106382419.0
