image,num_gaussians,feature_dim,l2_mean,l2_median,l2_std,element_mean,element_std,element_min,element_max,near_zero_element_ratio,near_zero_vector_ratio
0002.jpg,140945,48,2.1433777809143066,1.3725860118865967,2.3358733654022217,0.004201083444058895,0.4575643241405487,-12.443272590637207,11.723726272583008,0.08412974327802658,0.0
0003.jpg,140945,48,2.171130657196045,1.372185230255127,2.2492334842681885,0.00547761470079422,0.45118871331214905,-10.77304458618164,10.636153221130371,0.10335517674684525,0.0
0004.jpg,140945,48,2.0821616649627686,1.361163854598999,2.0931012630462646,-0.006188927683979273,0.4260925054550171,-11.143593788146973,10.375778198242188,0.10485930740833282,0.0
0005.jpg,140945,48,2.08182430267334,1.3686273097991943,2.128248691558838,0.004021418280899525,0.42969611287117004,-10.69943904876709,9.896684646606445,0.10300914943218231,0.0
0006.jpg,140945,48,2.0505595207214355,1.4561668634414673,1.9682215452194214,-0.002712972229346633,0.4102422595024109,-13.025468826293945,12.12343978881836,0.11435000598430634,0.0
0007.jpg,140945,48,1.8443355560302734,1.190926194190979,1.9995152950286865,-0.0008889126474969089,0.3926299512386322,-9.214345932006836,8.540569305419922,0.10953696072101593,0.0
0008.jpg,140945,48,1.6791367530822754,0.9937594532966614,1.9313548803329468,-0.0061980923637747765,0.36934030055999756,-11.230122566223145,10.274223327636719,0.1349305808544159,0.0
0010.jpg,140945,48,1.3547519445419312,0.6225944757461548,1.728403091430664,-0.00018643854127731174,0.31697556376457214,-10.08354377746582,9.728194236755371,0.18545132875442505,0.0
0011.jpg,140945,48,1.3042181730270386,0.5735491514205933,1.6460872888565063,-0.005457671824842691,0.3030799627304077,-8.839468002319336,7.862171649932861,0.1823766827583313,0.0
0012.jpg,140945,48,1.439864158630371,0.853801965713501,1.5944344997406006,-0.009271251037716866,0.30994969606399536,-10.382396697998047,9.42103099822998,0.17028094828128815,0.0
0013.jpg,140945,48,1.2151292562484741,0.5075510740280151,1.5895670652389526,-0.0069109597243368626,0.2887101471424103,-9.471247673034668,9.038714408874512,0.20362670719623566,0.0
0014.jpg,140945,48,1.5046104192733765,1.002572774887085,1.6025346517562866,-0.009403293021023273,0.31713974475860596,-11.933819770812988,10.989771842956543,0.18406380712985992,0.0
0015.jpg,140945,48,1.641448736190796,1.2063636779785156,1.5913044214248657,-0.0025667331647127867,0.32997119426727295,-13.487759590148926,11.931329727172852,0.192461296916008,0.0
